Ville,Secteur,Marque,Modèle,Année-Modèle,Kilométrage,Type de carburant,Puissance fiscale,Boite de vitesses,Nombre de portes,Origine,Première main,État,Jantes aluminium,Airbags,Climatisation,Système de navigation/GPS,Toit ouvrant,Sièges cuir,Radar de recul,Caméra de recul,Vitres électriques,ABS,ESP,Régulateur de vitesse,Limiteur de vitesse,CD/MP3/Bluetooth,Ordinateur de bord,Verrouillage centralisé à distance,Prix
Agadir,Unknown,Renault,Scenic,2005,190 000 - 199 999,Diesel,6,Manuelle,5,WW au Maroc,Unknown,Bon,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,65000
Fès,Unknown,Dacia,Logan,2013,170 000 - 179 999,Diesel,7,Manuelle,5,WW au Maroc,Oui,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,65000
Agadir,Unknown,Skoda,Octavia,2008,160 000 - 169 999,Diesel,8,Manuelle,5,WW au Maroc,Oui,Très bon,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,85000
Casablanca,Aïn Sebaâ,Renault,Master,2019,25 000 - 29 999,Diesel,9,Manuelle,5,Importée neuve,Oui,Très bon,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,195000
Tanger,Centre ville,Audi,Q5,2015,100 000 - 109 999,Diesel,6,Automatique,5,Importée neuve,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,243500
Meknès,Unknown,Dacia,Duster,2016,200 000 - 249 999,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,130000
El Kelâa des Sraghna,Toute la ville,Peugeot,208,2017,100 000 - 109 999,Essence,6,Manuelle,5,WW au Maroc,Oui,Bon,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,76000
Béni Mellal,Unknown,Opel,Astra,2001,170 000 - 179 999,Essence,10,Automatique,5,Dédouanée,Non,Excellent,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,65000
Casablanca,Anfa,Volkswagen,Touareg,2009,20 000 - 24 999,Diesel,12,Automatique,5,WW au Maroc,Non,Très bon,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,88000
Fès,Unknown,Peugeot,206,2009,15 000 - 19 999,Diesel,6,Automatique,5,Unknown,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,67000
Laâyoune,Unknown,Dacia,Logan,2018,5 000 - 9 999,Essence,7,Manuelle,5,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,80000
Casablanca,Sidi Bernoussi,Land Rover,Range Rover Evoque,2019,65 000 - 69 999,Diesel,8,Automatique,5,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,243500
Fès,Unknown,Dacia,Logan,2015,130 000 - 139 999,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,84000
Casablanca,Hay Moulay Rachid,Mercedes-Benz,220,2013,110 000 - 119 999,Diesel,9,Automatique,5,Importée neuve,Unknown,Excellent,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,243500
Casablanca,Sidi Bernoussi,Toyota,RAV 4,2008,300 000 - 349 999,Diesel,9,Automatique,5,Unknown,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,88000
Casablanca,Unknown,Renault,Megane 3,2009,130 000 - 139 999,Diesel,6,Manuelle,3,WW au Maroc,Non,Bon,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,85000
Casablanca,Unknown,Hyundai,i 10,2016,110 000 - 119 999,Essence,6,Manuelle,5,WW au Maroc,Non,Bon,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,66000
Kénitra,Unknown,Ford,Focus,2010,200 000 - 249 999,Diesel,7,Manuelle,5,WW au Maroc,Non,Excellent,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,93000
Casablanca,Unknown,Opel,Astra,2021,15 000 - 19 999,Diesel,7,Manuelle,5,Importée neuve,Oui,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,190000
Al Hoceïma,Toute la ville,Peugeot,208,2015,110 000 - 119 999,Essence,7,Manuelle,5,WW au Maroc,Non,Bon,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,72000
Casablanca,Autre secteur,Toyota,Hilux,1998,350 000 - 399 999,Diesel,10,Manuelle,3,WW au Maroc,Non,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,68000
Casablanca,Unknown,Renault,Captur,2013,60 000 - 64 999,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,120000
Casablanca,Aïn Sebaâ,Hyundai,i 10,2015,5 000 - 9 999,Essence,6,Manuelle,5,WW au Maroc,Oui,Très bon,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,67000
Rabat,Unknown,Toyota,Corolla,2005,140 000 - 149 999,Essence,7,Manuelle,5,WW au Maroc,Non,Excellent,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,63000
Casablanca,Hermitage,Renault,Kangoo,2017,100 000 - 109 999,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,110000
Casablanca,Polo,Kia,Sorento,2019,80 000 - 84 999,Diesel,9,Automatique,5,Unknown,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,180000
Fès,Agdal,BMW,Serie 5,2017,120 000 - 129 999,Diesel,12,Automatique,5,Importée neuve,Non,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,243500
Mohammedia,Autre secteur,Dacia,Dokker,2017,75 000 - 79 999,Diesel,6,Automatique,5,Unknown,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,131000
Marrakech,Massira,Dacia,Duster,2015,130 000 - 139 999,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,123000
Fès,Unknown,Ford,C-Max,2019,10 000 - 14 999,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,173000
Agadir,Unknown,Fiat,Doblo,2016,0 - 4 999,Diesel,5,Manuelle,5,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,78000
Rabat,Unknown,Ford,Ka,2014,95 000 - 99 999,Diesel,5,Manuelle,3,Unknown,Unknown,Très bon,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,False,87000
Kénitra,Al Maghrib Al Arabi,Peugeot,508,2015,130 000 - 139 999,Diesel,6,Manuelle,5,WW au Maroc,Non,Excellent,False,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,125000
Meknès,Unknown,Mercedes-Benz,Classe E,2010,200 000 - 249 999,Diesel,9,Manuelle,5,Dédouanée,Non,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,155000
Casablanca,Unknown,Renault,Clio,2019,40 000 - 44 999,Diesel,6,Manuelle,5,WW au Maroc,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,122000
Tahannaout,Unknown,Renault,Scenic,2011,350 000 - 399 999,Diesel,6,Manuelle,5,Dédouanée,Unknown,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,119000
Kénitra,Ouled Oujih,Audi,A4,2004,25 000 - 29 999,Diesel,10,Automatique,5,Unknown,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,85000
Agadir,Unknown,Volkswagen,Touareg,2009,0 - 4 999,Diesel,8,Manuelle,5,WW au Maroc,Non,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,90000
Meknès,Autre secteur,Ford,Fiesta,2018,75 000 - 79 999,Diesel,6,Manuelle,5,WW au Maroc,Non,Très bon,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,125000
Casablanca,Unknown,Renault,Symbol,2013,120 000 - 129 999,Diesel,6,Manuelle,5,WW au Maroc,Unknown,Bon,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,60000
Rabat,Unknown,Toyota,Corolla,2017,45 000 - 49 999,Diesel,5,Manuelle,5,WW au Maroc,Non,Excellent,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,150000
Fès,Ain Haroun,Dacia,Sandero,2015,110 000 - 119 999,Diesel,6,Automatique,5,Unknown,Unknown,Unknown,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,68000
Casablanca,Belvédère,Fiat,500,2010,0 - 4 999,Essence,6,Automatique,5,Unknown,Unknown,Unknown,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,78000
Tanger,Unknown,BMW,X1,2011,200 000 - 249 999,Diesel,8,Manuelle,5,Dédouanée,Non,Très bon,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,130000
Agadir,Founty,Mercedes-Benz,Classe A,2020,35 000 - 39 999,Diesel,9,Automatique,5,Importée neuve,Oui,Excellent,False,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,243500
